ordem;restaurant_id;categoria;nome;descricao;preco_exportado_reais;disponivel_no_csv_original;origem_preco_exportado;preco_bruto_origem_centavos;caminho_categorias;source_id;json_pointer;opcoes_e_adicionais;sinalizacoes;status_revisao;observacoes_ike
11;meet_and_eat;Entradas Quentes;MeetBall;5 Unidades de bolinhos de carne com gorgonzola. Acompanha molho barbecue da casa (barbecue de goiabada com pimenta biquinho).;61,00;true;price direto;6100;Cardápio Principal > Entradas Quentes;630386a9daf31500126bffd9;/body/0/menus/1/menuItems/3;;;PENDENTE;
12;meet_and_eat;Entradas Quentes;Mini Pastel De Cupim Defumado;5 Unidades de mini pastel recheado com cupim e queijo cheddar cremoso. Acompanha vinagrete.;62,00;true;price direto;6200;Cardápio Principal > Entradas Quentes;630387946e7cb6001194cd0e;/body/0/menus/1/menuItems/4;;;PENDENTE;
13;meet_and_eat;Entradas Quentes;Tour De Entradas;2 meetball, 2 croquetas de milho, 3 pasteis de cupim, 2 gouda crispy e  vinagrete.;92,00;true;price direto;9200;Cardápio Principal > Entradas Quentes;660484b59826a90072f0b5d2;/body/0/menus/1/menuItems/5;;;PENDENTE;
14;meet_and_eat;Entradas Quentes;Crispy Rice;Arroz japônes,crocante com furikake,tataki de salmão e limão siciliano;96,00;true;price direto;9600;Cardápio Principal > Entradas Quentes;6795793dec7376f2ea5cba27;/body/0/menus/1/menuItems/6;;;PENDENTE;
15;meet_and_eat;Entradas Quentes;Pancetta em  Rolo;Pururuca de barriga de porco, goiabada e limão com pimenta biquinho.;68,00;true;price direto;6800;Cardápio Principal > Entradas Quentes;67a155c8a5f58458fcba4674;/body/0/menus/1/menuItems/7;;;PENDENTE;
16;meet_and_eat;Entradas Quentes;Gambas al Ajillo;Camarões frescos cozidos rapidamente no azeite, Laminas de alho, Manteiga de Camarão;218,00;true;price direto;21800;Cardápio Principal > Entradas Quentes;69781852edfa483a2a507598;/body/0/menus/1/menuItems/8;;;PENDENTE;
17;meet_and_eat;Entradas Quentes;Polenta Frita C/ Tartare de Angus;Polenta frita da casa, Tartare de Angus;68,00;true;price direto;6800;Cardápio Principal > Entradas Quentes;678b9c21b3c927197c5a8195;/body/0/menus/1/menuItems/9;;;PENDENTE;
18;meet_and_eat;Entradas Assadas;Coração de Frango grelhado;360g Coração de frango marinado no shoyu com especiarias da casa por 72h e grelhado na parrilla.;82,00;true;price direto;8200;Cardápio Principal > Entradas Assadas;64235d609c155f005c281420;/body/0/menus/2/menuItems/0;;;PENDENTE;
19;meet_and_eat;Entradas Assadas;Empanada Argentina;ESCOLHER SABOR Carne Dulce, Queijo com cebola caramelizada ou Pernil | Unidade.;22,00;true;price direto;2200;Cardápio Principal > Entradas Assadas;62fff8b29411f100117feb3a;/body/0/menus/2/menuItems/1;;;PENDENTE;
20;meet_and_eat;Entradas Assadas;Linguica da Casa;;54,00;true;price direto;5400;Cardápio Principal > Entradas Assadas;66fbe2ca1281e98ee25ce05a;/body/0/menus/2/menuItems/2;;DESCRICAO_AUSENTE;PENDENTE;
21;meet_and_eat;Entradas Assadas;Matambrito;Matambre bovino desfiado ao molho. Acompanha vinagrete.;98,00;true;price direto;9800;Cardápio Principal > Entradas Assadas;660481e29d252f006ffa3bc5;/body/0/menus/2/menuItems/3;;;PENDENTE;
22;meet_and_eat;Entradas Assadas;Mix De Linguiças Artesanais;"Trio de linguiças grelhadas Tex mex (cheddar e jalapeño); chimichurri e marguerita (manjericão e muçarela de búfala e tomate). Acompanha vinagrete e chimichurri.";118,00;true;price direto;11800;Cardápio Principal > Entradas Assadas;630385e96e7cb6001194ccfa;/body/0/menus/2/menuItems/4;;;PENDENTE;
23;meet_and_eat;Entradas Assadas;Provoleta;Queijo provolone tostado na grelha, servido com tomate confit e chimichurri;68,00;true;price direto;6800;Cardápio Principal > Entradas Assadas;6604847b9d252f006ffa3d3e;/body/0/menus/2/menuItems/5;;;PENDENTE;
24;meet_and_eat;Entradas Assadas;Queijo Coalho com Mel Trufado;;66,00;true;price direto;6600;Cardápio Principal > Entradas Assadas;65c3f9abb4cea6006ab6936e;/body/0/menus/2/menuItems/6;;DESCRICAO_AUSENTE;PENDENTE;
25;meet_and_eat;Entradas Assadas;Trio De Mini Burgers;1 burger com cheddar e cebola caramelizada, 1 burger salad e 1 burger clássico.;74,00;true;price direto;7400;Cardápio Principal > Entradas Assadas;63038659daf31500126bffd1;/body/0/menus/2/menuItems/7;;;PENDENTE;
26;meet_and_eat;Entradas Assadas;Pão de alho;Duas unidades de pão de alho.;16,00;true;price direto;1600;Cardápio Principal > Entradas Assadas;6604828f9826a90072f0b386;/body/0/menus/2/menuItems/8;;;PENDENTE;
27;meet_and_eat;Entradas Assadas;Milho na Brasa;;44,00;true;price direto;4400;Cardápio Principal > Entradas Assadas;689b51ec5ca5938d5cc1f48e;/body/0/menus/2/menuItems/9;;DESCRICAO_AUSENTE;PENDENTE;
28;meet_and_eat;Salada;Caesar Salad;Alface americana, molho caesar, croutons, parmesão em lasca e peito de frango grelhado.;56,00;true;price direto;5600;Cardápio Principal > Salada;659fcf63769ef00072369060;/body/0/menus/3/menuItems/0;;;PENDENTE;
29;meet_and_eat;Salada;Meet Salad;Mix de folhas com queijo de cabra, jamon (presunto espanhol), figo fresco, mix de nuts, mostarda e mel.;76,00;true;price direto;7600;Cardápio Principal > Salada;630397a51b684f0011d08578;/body/0/menus/3/menuItems/1;;;PENDENTE;
30;meet_and_eat;Salada;Salada de Rúcula;Salada de folhas de rúcula, temperadas com molho de redução de balsâmico e mel tomate cereja e lascas de parmesão.;48,00;true;price direto;4800;Cardápio Principal > Salada;63038d06daf31500126c004d;/body/0/menus/3/menuItems/2;;;PENDENTE;
31;meet_and_eat;Salada;Salada Juliana;Alface americana, cenoura, tomate, palmito, parmesão e batata palha.;62,00;true;price direto;6200;Cardápio Principal > Salada;63038d661b684f0011d084b1;/body/0/menus/3/menuItems/3;;;PENDENTE;
32;meet_and_eat;Sanduiches & Burger;Cheese Burger;Pão brioche, blend de burguer 180g e queijo cheddar ingles. Acompanha maionese da casa e catchup.;82,00;true;price direto;8200;Cardápio Principal > Sanduiches & Burger;63039a679042650011900552;/body/0/menus/4/menuItems/0;Adicional: [sem preco proprio] -> Bacon: 8,00, Salada: 6,00;ADICIONAIS_OU_SABORES;PENDENTE;
33;meet_and_eat;Sanduiches & Burger;Choripan;Pão ciabata, linguiça grelhada chimichurri, queijo, vinagrete, maionese da casa e chimichurri. Acompanha fritas;76,00;true;price direto;7600;Cardápio Principal > Sanduiches & Burger;63039beb1b684f0011d085ef;/body/0/menus/4/menuItems/1;;;PENDENTE;
34;meet_and_eat;Sanduiches & Burger;Philly Cheese Steak;Pão ciabata, filet mignon com queijo mussarela e maionese da casa. Acompanha fritas.;96,00;true;price direto;9600;Cardápio Principal > Sanduiches & Burger;63039b5ebe84a500118844f0;/body/0/menus/4/menuItems/2;;;PENDENTE;
35;meet_and_eat;Seleção Wagyu;Wagyu 7/8 100g;Avaliar cortes disponíveis de Wagyu na casa. Valor referente a 100g;239,00;true;price direto;23900;Cardápio Principal > Seleção Wagyu;64de895b627a68004f5824a6;/body/0/menus/5/menuItems/0;;;PENDENTE;
36;meet_and_eat;Da Brasa;Bife Ancho 300gr;Nosso, filé de costela, entrecote, ponta do contra filé e ribeye todos esses nomes são para o mesmo corte do animal, um dos cortes talvez mais saboroso e gostoso do bovino o ancho é retirado da dianteira do boi mais especificamente da 6ª a 11ª costela, é composto por dois cortes Ceja ou (Ribeye Cap) e Ojo de bife.;228,00;true;price direto;22800;Cardápio Principal > Da Brasa;6303a7c8be84a500118846e2;/body/0/menus/6/menuItems/0;;;PENDENTE;
37;meet_and_eat;Da Brasa;Bife De Chorizo 300gr;Continuação do ancho o Chorizo fica localizado no meio do lombo do animal possuí uma excelente capa de gordura lateral que torna o corte inconfundível e bastante saboroso, um dos cortes mais consagrados na Argentina .;198,00;true;price direto;19800;Cardápio Principal > Da Brasa;637699b85da840004aadaa2f;/body/0/menus/6/menuItems/1;;;PENDENTE;
38;meet_and_eat;Da Brasa;Carré de Cordeiro;450gr.;268,00;true;price direto;26800;Cardápio Principal > Da Brasa;6303a8191b684f0011d086c4;/body/0/menus/6/menuItems/2;;;PENDENTE;
39;meet_and_eat;Da Brasa;Cupim 300gr;Corte localizado atrás do pescoço do animal, possui bastante gordura entremeada fazendo com que ele seja um corte bastante macio e saboroso, possui uma clássica forma de preparo que é em coccão lenta, ou seja, assar ele em temperatura baixa de 10 a 12 horas para garantir toda sua maciez e sabor inconfundível.;142,00;true;price direto;14200;Cardápio Principal > Da Brasa;6303ae7ecfc5af0012c21671;/body/0/menus/6/menuItems/3;;;PENDENTE;
40;meet_and_eat;Da Brasa;Fraldinha Red 300g;Corte retirado da fraldinha localizado na parte abdominal do animal, especificamente no final da costela, corte magro porém bastante saboroso e macio por conta do mármoreio presente.;204,00;true;price direto;20400;Cardápio Principal > Da Brasa;6303a785cfc5af0012c215ba;/body/0/menus/6/menuItems/4;;;PENDENTE;
41;meet_and_eat;Da Brasa;Flat Iron 300gr;Corte retirado da paleta do animal, bastante conhecido por sua maciez e suculência, possui um marmoreio ideal para fazer desse corte um dos mais saborosos do boi.;202,00;true;price direto;20200;Cardápio Principal > Da Brasa;659fd162769ef000723690a8;/body/0/menus/6/menuItems/5;;;PENDENTE;
42;meet_and_eat;Da Brasa;Pupunha Assada Com Tomate Confit;;86,00;true;price direto;8600;Cardápio Principal > Da Brasa;6303a58f9042650011900738;/body/0/menus/6/menuItems/6;;DESCRICAO_AUSENTE;PENDENTE;
43;meet_and_eat;Da Brasa;Steak Meet 300g;;186,00;true;price direto;18600;Cardápio Principal > Da Brasa;68de90b175a10b7f7eed418c;/body/0/menus/6/menuItems/7;;DESCRICAO_AUSENTE;PENDENTE;
44;meet_and_eat;Da Brasa;Ojo Bife;Esse corte extremamente saboroso é o centro do Bife Ancho. Com fibras curtas e delicadas, é a parte mais macia do contrafilé, perfeita para parrilla;182,00;true;price direto;18200;Cardápio Principal > Da Brasa;6746fedf973ffde090107636;/body/0/menus/6/menuItems/8;;;PENDENTE;
45;meet_and_eat;Para Compartilhar;Lagosta Inteira;Lagosta fresca grelhada na nossa parrilla.;449,00;true;price direto;44900;Cardápio Principal > Para Compartilhar;6303aaab773fd50011561199;/body/0/menus/7/menuItems/0;;;PENDENTE;
46;meet_and_eat;Para Compartilhar;Parrillada;Flat iron, Steak Meet, Picanha, Ojo de bife, Linguiças da casa e Pão de alho.;618,00;true;price direto;61800;Cardápio Principal > Para Compartilhar;6303aa44be84a5001188471d;/body/0/menus/7/menuItems/1;;;PENDENTE;
47;meet_and_eat;Para Compartilhar;Parrillada Do Mar;Polvo, Camarão, salmão e lagosta.;799,00;true;price direto;79900;Cardápio Principal > Para Compartilhar;6303aa901b684f0011d086ff;/body/0/menus/7/menuItems/2;;;PENDENTE;
48;meet_and_eat;Para Compartilhar;Prime Rib Bovino 450gr;Sem muitas delongas é o ancho com osso, retirado do lombo do animal mais especificamente no começo do lombo da 6ª a 12ª costela, o fato de possuir o osso deixa o corte com um sabor especial e também valoriza muito a apresentação.;389,00;true;price direto;38900;Cardápio Principal > Para Compartilhar;6303ab611b684f0011d08712;/body/0/menus/7/menuItems/3;;;PENDENTE;
49;meet_and_eat;Para Compartilhar;Chorizo de Tira;700g;569,00;true;price direto;56900;Cardápio Principal > Para Compartilhar;69b9bfc5e2f52aa71ad1bbf8;/body/0/menus/7/menuItems/4;;;PENDENTE;
50;meet_and_eat;Peixes e Frutos do Mar;Polvo;150gr;158,00;true;price direto;15800;Cardápio Principal > Peixes e Frutos do Mar;6303a9cb6e7cb6001194d3e1;/body/0/menus/8/menuItems/0;;;PENDENTE;
51;meet_and_eat;Peixes e Frutos do Mar;Salmão;Deliciosa posta de Salmão (300gr) feita na brasa.;164,00;true;price direto;16400;Cardápio Principal > Peixes e Frutos do Mar;659fd1fc769ef000723690db;/body/0/menus/8/menuItems/1;;;PENDENTE;
52;meet_and_eat;Peixes e Frutos do Mar;Camarão na brasa 200g;;164,00;true;price direto;16400;Cardápio Principal > Peixes e Frutos do Mar;6303a9e3daf31500126c026e;/body/0/menus/8/menuItems/2;;DESCRICAO_AUSENTE;PENDENTE;
53;meet_and_eat;Peixes e Frutos do Mar;Polvo á Lagareira;Tentáculos de polvo cozido, Batata bolinha, Brócolis, Tomate cereja, Alho Confit, Cebola Chalota Finalizado com maionese de páprica.;232,00;true;price direto;23200;Cardápio Principal > Peixes e Frutos do Mar;6978164cedfa483a2a504f43;/body/0/menus/8/menuItems/3;;;PENDENTE;
54;meet_and_eat;Arrozes;Arroz Biro Biro;Clássico prato brasileiro, feito do nosso jeito.;48,00;true;price direto;4800;Cardápio Principal > Arrozes;659fce38769ef00072368ff3;/body/0/menus/9/menuItems/0;;;PENDENTE;
55;meet_and_eat;Arrozes;Arroz Com Brócolis e Amendoas;Arroz branco, brócolis grelhado e amendoas tostada.;46,00;true;price direto;4600;Cardápio Principal > Arrozes;6303afd6773fd5001156120f;/body/0/menus/9/menuItems/1;;;PENDENTE;
56;meet_and_eat;Arrozes;Arroz de Cupim;Arroz Arbóreo, cupim na brasa, ovo e demi galce.;58,00;true;price direto;5800;Cardápio Principal > Arrozes;67a150fea5f58458fcb9c1c8;/body/0/menus/9/menuItems/2;;;PENDENTE;
57;meet_and_eat;Risotos;Risoto Al Limone;Risoto cremoso de limão siciliano com manteiga e queijo;60,00;true;price direto;6000;Cardápio Principal > Risotos;66fbe6bf1281e98ee25d1b53;/body/0/menus/10/menuItems/0;;;PENDENTE;
58;meet_and_eat;Risotos;Risoto Funghi;Arroz italiano com mix de cogumelos e salsinha;78,00;true;price direto;7800;Cardápio Principal > Risotos;66fbe69c1281e98ee25d1804;/body/0/menus/10/menuItems/1;;;PENDENTE;
59;meet_and_eat;Risotos;Risoto Alho Poró;Arroz Arbóreo, presunto parma, queijo parmesão, manteiga e alho poró.;64,00;true;price direto;6400;Cardápio Principal > Risotos;66fbf6aa1281e98ee25e6158;/body/0/menus/10/menuItems/2;;;PENDENTE;
60;meet_and_eat;Risotos;Risoto Grana Padano;Arroz arbório, queijo grana padano e manteiga;62,00;true;price direto;6200;Cardápio Principal > Risotos;66fbe6681281e98ee25d1468;/body/0/menus/10/menuItems/3;;;PENDENTE;
61;meet_and_eat;Risotos;Risoto Carbonara;Receita italiana feita com arroz de risoto, gema caipira, pimenta preta, grana padano e finaliza com jamon serrano.;64,00;true;price direto;6400;Cardápio Principal > Risotos;66fbe74d1281e98ee25d2505;/body/0/menus/10/menuItems/4;;;PENDENTE;
62;meet_and_eat;Risotos;Risoto Gorgonzola;Arroz italiano com queijo gorgonzola e parmesão.;58,00;true;price direto;5800;Cardápio Principal > Risotos;66fbe9ee1281e98ee25d50a3;/body/0/menus/10/menuItems/5;;;PENDENTE;
63;meet_and_eat;Massas Frescas;Fetuccine Alfredo;;58,00;true;price direto;5800;Cardápio Principal > Massas Frescas;66fbea4e1281e98ee25d59bf;/body/0/menus/11/menuItems/0;;DESCRICAO_AUSENTE;PENDENTE;
64;meet_and_eat;Massas Frescas;Gnocchi Selado;Gnocchi selado na manteiga, molho de parmesão e ceboulete;62,00;true;price direto;6200;Cardápio Principal > Massas Frescas;66fbe81d1281e98ee25d3399;/body/0/menus/11/menuItems/1;;;PENDENTE;
65;meet_and_eat;Massas Frescas;Penne Carbonara;Massa de grano duro, gema caipira, queijo parmesão, pacetta curada e pimenta preta.;58,00;true;price direto;5800;Cardápio Principal > Massas Frescas;67a14d90d3e3c1d6cd546131;/body/0/menus/11/menuItems/2;;;PENDENTE;
66;meet_and_eat;Massas Frescas;Fetuccine Cogumelo;Massa fresca da casa, queijo cremoso, parmesão e mix de cogumelo.;68,00;true;price direto;6800;Cardápio Principal > Massas Frescas;67a14e3fd3e3c1d6cd5475db;/body/0/menus/11/menuItems/3;;;PENDENTE;
67;meet_and_eat;Massas Frescas;Gnocchi Meet;Gnocchi feito na casa de batata doce, com cogumelos, molho demi e azeite trufado.;64,00;true;price direto;6400;Cardápio Principal > Massas Frescas;66fefee31281e98ee2b153b7;/body/0/menus/11/menuItems/4;;;PENDENTE;
68;meet_and_eat;Massas Frescas;Gnocchi Trufado;Gnocchi de batata doce, creme de queijo e salsa trufada;66,00;true;price direto;6600;Cardápio Principal > Massas Frescas;66fbe7fe1281e98ee25d3149;/body/0/menus/11/menuItems/5;;;PENDENTE;
69;meet_and_eat;Farofas;Farofa de ovo;Refogada na manteiga, ovo, farinha de mandioca e salsinha;42,00;true;price direto;4200;Cardápio Principal > Farofas;659fcefd769ef00072369039;/body/0/menus/12/menuItems/0;;;PENDENTE;
70;meet_and_eat;Farofas;Farofa Meet;Clássica da casa, feita com farofa crocante, bacon, banana da terra e crispy de couve manteiga;48,00;true;price direto;4800;Cardápio Principal > Farofas;65cb944db4cea6006abcb864;/body/0/menus/12/menuItems/1;;;PENDENTE;
71;meet_and_eat;Batatas/Tubérnaculos;Batata Chips;Fried crunchy extra potato.;34,00;true;price direto;3400;Cardápio Principal > Batatas/Tubérnaculos;66298632e67629006bdaf6d2;/body/0/menus/13/menuItems/0;;;PENDENTE;
72;meet_and_eat;Batatas/Tubérnaculos;Batata Frita;batata extra crocante frita.;48,00;true;price direto;4800;Cardápio Principal > Batatas/Tubérnaculos;6303b103daf31500126c02f8;/body/0/menus/13/menuItems/1;;;PENDENTE;
73;meet_and_eat;Batatas/Tubérnaculos;Batata Trufada Com Parmesão;Batatas fritas com azeite trufado e parmesão.;58,00;true;price direto;5800;Cardápio Principal > Batatas/Tubérnaculos;659fcec2769ef0007236902a;/body/0/menus/13/menuItems/2;;;PENDENTE;
74;meet_and_eat;Batatas/Tubérnaculos;Pure de Mandioquinha;mandioquinha, manteiga e finalizaa com cebolete;46,00;true;price direto;4600;Cardápio Principal > Batatas/Tubérnaculos;659fcf0f769ef00072369041;/body/0/menus/13/menuItems/3;;;PENDENTE;
75;meet_and_eat;Batatas/Tubérnaculos;Pure De Batata;Purê de batata com manteiga e queijo parmesão.;38,00;true;price direto;3800;Cardápio Principal > Batatas/Tubérnaculos;659fcf25769ef00072369049;/body/0/menus/13/menuItems/4;;;PENDENTE;
76;meet_and_eat;Polentas;Polenta Frita;polenta frita da casa com parmesão;42,00;true;price direto;4200;Cardápio Principal > Polentas;678b9c19ec7376f2ea31ac22;/body/0/menus/14/menuItems/0;;;PENDENTE;
77;meet_and_eat;Legumes e Verduras;Creme De Espinafre;molho branco com espinafre gratinado com queijo;42,00;true;price direto;4200;Cardápio Principal > Legumes e Verduras;659fceac769ef0007236901e;/body/0/menus/15/menuItems/0;;;PENDENTE;
78;meet_and_eat;Legumes e Verduras;Legumes na manteiga;Mix de legumes da estação braseado com manteiga e flor de sal;44,00;true;price direto;4400;Cardápio Principal > Legumes e Verduras;66871743c26fdee10c5d047e;/body/0/menus/15/menuItems/1;;;PENDENTE;
79;meet_and_eat;Legumes e Verduras;Legumes na brasa;Mix de legumes da estação braseado, azeite de ervas e flor de sal;46,00;true;price direto;4600;Cardápio Principal > Legumes e Verduras;659fce7d769ef00072369008;/body/0/menus/15/menuItems/2;;;PENDENTE;
80;meet_and_eat;Sobremesas;Abacaxi Com Espuma De Limão Siciliano;Abacaxi com raspa de limão siciliano, mel e espuma de limão.;28,00;true;price direto;2800;Sobremesas > Sobremesas;6303ba44be84a50011885426;/body/1/menus/0/menuItems/0;;;PENDENTE;
81;meet_and_eat;Sobremesas;Banoffe;Torta de Banana com doce de leite acompanha sorvete de canela.;44,00;true;price direto;4400;Sobremesas > Sobremesas;642f409722df6f005ce0fe56;/body/1/menus/0/menuItems/1;;;PENDENTE;
82;meet_and_eat;Sobremesas;Brownie De Chocolate;Acompanha Calda de chocolate amargo e Bola de sorvete de creme.;52,00;true;price direto;5200;Sobremesas > Sobremesas;6303bb2ddaf31500126c03ad;/body/1/menus/0/menuItems/2;;;PENDENTE;
83;meet_and_eat;Sobremesas;Bolo de coco;Bolo de coco, felpudo, com calda de coco.;44,00;true;price direto;4400;Sobremesas > Sobremesas;65b81a3cc456c6007271b7cc;/body/1/menus/0/menuItems/3;;;PENDENTE;
84;meet_and_eat;Sobremesas;Choux Cream;O choux cream é uma massa típica francesa recheada com creme de baunilha e creme de avelã, sorvete de creme e calda de chocolate.;58,00;true;price direto;5800;Sobremesas > Sobremesas;6303bbe01b684f0011d08871;/body/1/menus/0/menuItems/4;;;PENDENTE;
85;meet_and_eat;Sobremesas;Pudim;pudim tradicional com calda de caramelo;32,00;true;price direto;3200;Sobremesas > Sobremesas;66bf92cb7ef1ce76c368054c;/body/1/menus/0/menuItems/5;;;PENDENTE;
86;meet_and_eat;Sobremesas;Sorvetes Tradicionais;;18,00;true;price direto;1800;Sobremesas > Sobremesas;64838d5e3309f0005319a09c;/body/1/menus/0/menuItems/6;Sabor: [sem preco proprio] -> Creme: 0,00, Canela: 0,00;ADICIONAIS_OU_SABORES | DESCRICAO_AUSENTE;PENDENTE;
87;meet_and_eat;Sobremesas;Sorvete Zero;;18,00;true;price direto;1800;Sobremesas > Sobremesas;649c6ce6a514d70055cf0441;/body/1/menus/0/menuItems/7;Sabores: [sem preco proprio] -> Doce de leite: 0,00 (desativado), Pistache: 0,00 (desativado);ADICIONAIS_OU_SABORES | TODOS_FILHOS_DA_OPCAO_DESATIVADOS | DESCRICAO_AUSENTE;PENDENTE;
88;meet_and_eat;Sobremesas;Torta de Frutas Vermelhas;Torta de frutas vermelhas desconstruída com morango, blue berry, amora e framboesa e recheio de creme legere.;58,00;true;price direto;5800;Sobremesas > Sobremesas;6303bafa1b684f0011d08857;/body/1/menus/0/menuItems/8;;;PENDENTE;
89;meet_and_eat;Sobremesas;Tour de Brigadeiros;"Composição de 5 brigadeiros, sendo eles:
- Chocolate Branco 
- Chocolate Belga Amargo 
- Chocolate Belga 
- Brullé";49,00;true;price direto;4900;Sobremesas > Sobremesas;642f41809c155f005c292c15;/body/1/menus/0/menuItems/9;;;PENDENTE;
90;meet_and_eat;Sobremesas;Cookie Nutella;Cookie de macadamia com recheio de nutella, sorvete de creme e calda de chocolate amargo.;62,00;true;price direto;6200;Sobremesas > Sobremesas;687bc79ed93eb49f2d42dd6d;/body/1/menus/0/menuItems/10;;;PENDENTE;
91;meet_and_eat;Soft;Água Pura sem gás;Água sem gás.;9,00;true;price direto;900;Bebidas > Soft;6303c7d89042650011901bd5;/body/2/menus/0/menuItems/0;300ml: 9,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
92;meet_and_eat;Soft;Água Pura com gás;Água com gás.;9,00;true;price direto;900;Bebidas > Soft;674e5b94973ffde090065fa1;/body/2/menus/0/menuItems/1;300ml: 9,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
93;meet_and_eat;Soft;San Pellegrino;Água mineral natural reforçada com gás natural da fonte.;36,00;true;price direto;3600;Bebidas > Soft;6303c80de9cb570011b65968;/body/2/menus/0/menuItems/2;505ml: 36,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
94;meet_and_eat;Soft;Acqua Panna;Água extremamente leve, a preferida pelas Associações de Sommeliers para acompanhar as degustações de vinhos.;36,00;true;price direto;3600;Bebidas > Soft;6303c844daf31500126c0a82;/body/2/menus/0/menuItems/3;500ml: 36,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
95;meet_and_eat;Soft;Água De Coco;;18,00;true;price direto;1800;Bebidas > Soft;6303d24adaf31500126c0b17;/body/2/menus/0/menuItems/4;[sem rotulo]: 18,00;DESCRICAO_AUSENTE;PENDENTE;
96;meet_and_eat;Soft;Coca-Cola;;12,00;true;price direto;1200;Bebidas > Soft;6303c86e6e7cb6001194e7c6;/body/2/menus/0/menuItems/5;[sem rotulo]: 12,00;DESCRICAO_AUSENTE;PENDENTE;
97;meet_and_eat;Soft;Coca-Cola Zero;;12,00;true;price direto;1200;Bebidas > Soft;6303c8876e7cb6001194e7cb;/body/2/menus/0/menuItems/6;[sem rotulo]: 12,00;DESCRICAO_AUSENTE;PENDENTE;
98;meet_and_eat;Soft;Guaraná;;12,00;true;price direto;1200;Bebidas > Soft;6303c8c59042650011901bdf;/body/2/menus/0/menuItems/7;[sem rotulo]: 12,00;DESCRICAO_AUSENTE;PENDENTE;
